// sample				nEvt	L(/pb)	filt  collection		  comment
data2011A/MuEG_163386_163869 405535    99.80 0.155   Run2011A-May10ReReco-v1/AOD   data
data2011A/MuEG_163870_165121   7113     2.24 0.184   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_165122_165567 289962   104.62 0.183   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_165568_166033 289962   101.97 0.183   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_166034_166429 265423   101.06 0.180   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_166430_166563 269990   104.19 0.178   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_166564_166841 301091   116.61 0.178   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_166842_166950 320458   122.98 0.179   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_166951_167284 235981   101.48 0.172   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_167285_167807 248987   108.50 0.172   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_167808_170052 146304    66.09 0.168   Run2011A-PromptReco-v4/AOD   data
data2011A/MuEG_170053_170876  68628    34.99 0.185   Run2011A-05Aug2011-v1/AOD   data
data2011A/MuEG_170877_171446 204728   102.29 0.191   Run2011A-05Aug2011-v1/AOD   data
data2011A/MuEG_171447_172163 227077   111.53 0.198   Run2011A-05Aug2011-v1/AOD   data
data2011A/MuEG_172164_172619 183056    87.77 0.201   Run2011A-05Aug2011-v1/AOD   data
data2011A/MuEG_172620_172802 250333   124.68 0.194   Run2011A-03Oct2011-v1/AOD   data
data2011A/MuEG_172803_172868 311244   153.52 0.199   Run2011A-03Oct2011-v1/AOD   data
data2011A/MuEG_172869_172999 209509   105.34 0.198   Run2011A-03Oct2011-v1/AOD   data
data2011A/MuEG_173000_173389 225805   109.44 0.208   Run2011A-03Oct2011-v1/AOD   data
data2011A/MuEG_173390_173692 335251   165.91 0.208   Run2011A-03Oct2011-v1/AOD   data

data2011B/MuEG_175860_175975 221293   108.98 0.222   Run2011B-PromptReco-v1/AOD   data
